代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
301683.SZ,慧谷新材,染料涂料,27.10,09:30-09:45,128.00,139.08,126.71,+61.66
600184.SH,600184.SH,,22.52,09:30-09:45,20.25,20.04,19.30,+4.83
301048.SZ,301048.SZ,,21.41,09:30-09:45,13.00,12.45,12.38,-5.42
002580.SZ,002580.SZ,,21.39,09:30-09:45,17.92,19.02,18.36,+4.26
300964.SZ,本川智能,元器件,20.03,09:30-09:45,65.71,74.98,71.52,+14.47
603248.SH,锡华科技,机械基件,19.07,09:30-09:45,27.70,29.63,30.07,+9.99
605299.SH,舒华体育,文教休闲,18.86,09:30-09:45,21.88,21.37,21.60,+1.27
002361.SZ,002361.SZ,,18.42,09:30-09:45,17.00,17.39,17.00,+3.03
002342.SZ,002342.SZ,,18.22,09:30-09:45,15.08,14.62,14.26,-0.97
603803.SH,瑞斯康达,通信设备,18.16,09:30-09:45,13.06,13.68,13.68,+9.97
000008.SZ,000008.SZ,,17.42,09:30-09:45,3.60,3.47,3.27,+0.00
603538.SH,603538.SH,,16.18,09:30-09:45,40.90,37.90,39.79,-2.71
000070.SZ,000070.SZ,,15.12,09:30-09:45,18.00,18.42,18.45,+3.65
301079.SZ,邵阳液压,机械基件,14.37,09:30-09:45,44.76,45.29,43.57,-2.66
000631.SZ,000631.SZ,,14.06,09:30-09:45,4.54,4.10,3.95,-7.49
300736.SZ,百邦科技,通信设备,13.86,09:30-09:45,22.23,21.38,20.54,-12.15
605162.SH,新中港,供气供热,13.27,09:30-09:45,11.80,11.41,12.77,+9.99
000995.SZ,皇台酒业,白酒,13.18,09:30-09:45,15.00,14.21,13.99,-6.73
301302.SZ,华如科技,软件服务,12.71,09:30-09:45,24.15,23.24,22.21,-15.55
300385.SZ,雪浪环境,环境保护,12.67,09:30-09:45,21.05,19.03,18.70,-9.31
603687.SH,大胜达,广告包装,12.50,09:30-09:45,15.28,16.39,16.39,+10.00
600396.SH,华电辽能,火力发电,12.43,09:30-09:45,7.80,7.84,7.52,-9.94
603017.SH,中衡设计,建筑工程,12.30,09:30-09:45,16.50,16.15,17.57,+7.66
000815.SZ,000815.SZ,,12.12,09:30-09:45,19.33,20.70,20.70,+9.99
600726.SH,600726.SH,,11.99,09:30-09:45,6.27,5.98,5.91,-7.80
300344.SZ,立方退,,11.88,09:30-09:45,0.46,0.42,0.40,-20.00
002578.SZ,闽发铝业,铝,11.57,09:30-09:45,4.68,4.37,4.37,-6.82
603256.SH,603256.SH,,11.30,09:30-09:45,75.24,75.33,72.93,+4.11
600722.SH,金牛化工,化工原料,11.30,09:30-09:45,14.81,14.57,14.35,-3.50
000037.SZ,深南电A,火力发电,11.29,09:30-09:45,12.60,12.34,11.85,-8.99
002995.SZ,天地在线,互联网,11.23,09:30-09:45,25.20,24.48,24.24,-1.70
002051.SZ,002051.SZ,,11.22,09:30-09:45,9.86,9.29,9.01,+0.56
002218.SZ,002218.SZ,,11.04,09:30-09:45,6.88,6.62,6.53,-5.77
600149.SH,廊坊发展,综合类,11.00,09:30-09:45,6.81,6.57,6.59,-6.39
300300.SZ,海峡创新,软件服务,10.90,09:30-09:45,14.41,13.95,13.83,-6.68
000062.SZ,000062.SZ,,10.75,09:30-09:45,25.18,26.38,26.08,+5.54
301292.SZ,301292.SZ,,10.64,09:30-09:45,91.81,95.71,91.01,-2.45
301419.SZ,阿莱德,通信设备,10.47,09:30-09:45,39.99,40.83,40.00,+2.62
601789.SH,601789.SH,,10.39,09:30-09:45,5.65,6.08,5.87,+6.15
600110.SH,600110.SH,,10.34,09:30-09:45,9.25,9.55,9.08,-1.52
301399.SZ,英特科技,机械基件,10.10,09:30-09:45,24.27,23.86,24.30,-2.37
